15141	237
15141	707
15141	2280
12351	3198
6629	3198
7867	3198
7935	5781
7935	993
6693	6963
6693	993
12387	1622
12387	1227
6697	993
5282	6963
5282	993
15152	4965
15152	4957
15153	172
15153	2510
15153	350
15153	14332
15153	14331
15162	8283
15162	8285
12337	1298
12337	8313
12337	8314
12337	8317
6561	1298
12332	1298
8241	1298
8241	8318
4643	1298
4714	1298
4714	5730
4714	8319
12458	4842
12487	7756
12481	4898
12416	7
12416	1977
6579	72
6579	360
12411	1256
12411	72
12411	360
12411	805
12410	49
12410	5123
12409	29
12409	8930
12409	1955
12406	29
12406	5034
12406	2041
12401	2300
12401	516
12399	29
12399	8938
12399	1127
15138	2582
15138	2077
15138	3109
15195	11342
15196	6834
15196	11129
15199	2687
15199	1210
15199	1757
15199	1850
15201	4445
12167	2331
12165	1682
12163	744
12163	7740
12200	8758
12200	225
12200	324
12200	4142
12199	54
12199	2534
12199	253
12199	6730
12199	11210
12199	460
12181	149
12181	418
12180	685
12180	1935
12180	1022
12180	6461
12177	583
12177	11439
15206	920
15209	11861
15209	11862
15210	1687
15210	357
15211	741
15212	4788
15212	2429
15212	1687
15212	357
15214	1585
15214	4132
15214	12361
15215	13180
15215	15270
15215	13178
15215	13179
12271	1956
12271	26
12271	1987
12268	700
12268	1397
12268	238
15171	1515
15171	8568
15171	4337
15171	9691
15171	9690
15174	14760
15174	1022
15174	14761
15175	15798
15175	15797
15175	15796
15175	2832
15175	1548
15175	15795
15175	2783
15175	15794
15175	2362
15175	15644
15176	670
15176	673
12284	10470
12284	10469
12284	388
12284	6181
15177	947
15177	2529
15178	5476
15179	3461
15179	887
12219	15089
12211	869
12211	8981
12211	8990
12211	6229
12208	869
12208	8995
15184	1122
15184	3076
15184	3545
15184	570
15047	3297
15047	4588
12709	352
9076	352
9076	869
15054	986
15054	13097
12695	869
12695	4676
12695	7379
9192	869
9192	4676
12726	1287
15004	57
15004	1109
15004	1004
15004	552
6325	8737
6325	8738
15013	141
15013	1306
15013	403
15013	5675
15013	13456
15013	3285
15013	3286
12840	6241
12839	3676
12839	7483
12839	8767
12876	1273
12876	0
12876	14256
12806	2360
12806	8494
9512	316
9512	2360
12802	1507
12802	1116
12802	9
15088	285
15088	4286
15089	88
15090	3138
12788	153
12788	485
12788	212
15091	235
15091	2588
15092	2588
15092	1614
15095	29
15095	3153
12819	1343
8532	1343
15098	3153
15098	10721
12809	1922
12809	10753
12809	717
12809	1328
12809	10752
12809	10751
12809	6969
8674	2075
8674	3861
12558	10883
12558	10882
12558	193
12558	1655
15103	1813
15103	13939
12549	8457
12549	6210
12549	5758
12549	8456
15058	10310
12588	1444
12588	642
8417	1444
8417	1522
12579	4830
15066	16917
15066	939
15066	887
15066	16916
15073	2697
15073	992
15079	13858
15079	288
15081	5857
15081	288
15081	15694
12527	2086
12523	2546
12523	4805
12523	2086
12523	8852
12520	2546
12520	4805
12520	2086
15369	2407
15369	3821
15369	70
15370	12089
12687	644
12687	3807
15375	7438
15375	704
12676	11979
12676	3920
12672	3920
12672	5504
15379	2924
15379	1534
15379	4240
15379	7947
15379	2297
15381	4128
15381	569
12609	2992
12608	8837
12608	2992
12606	2992
15386	3058
15386	930
15387	7
15387	297
12596	246
8788	1648
12593	9020
12593	9087
15388	7053
15388	2370
12629	9054
12629	7298
15341	16182
15341	16186
15341	16185
15341	16184
15341	16183
11589	4498
11589	6722
11587	3647
11587	4003
15345	15058
15345	15104
15350	2934
15350	71
11569	1117
11569	135
11569	169
11567	7418
11567	1341
6960	255
6960	4836
6960	386
6960	8850
6960	8851
15419	235
15419	3709
15421	168
15421	2843
15421	1315
15421	56
15424	281
15424	3075
15424	348
8430	858
8430	8741
8696	8743
8696	4836
8696	2777
8696	2189
8696	386
11544	5981
11544	143
11686	386
11686	143
11681	6334
11681	1596
8579	143
8579	2932
11675	4532
11675	143
4381	386
4381	143
11673	7858
11673	143
11672	6983
15430	3251
15430	15269
15434	2371
15434	9456
15434	9454
11707	9089
11707	9090
11707	9047
15442	3411
15442	6654
15400	1088
15400	7917
15400	7919
15400	3206
15400	7968
15400	7970
15400	7950
15400	7852
15400	7864
15400	7869
15400	7836
15400	14475
15400	357
15400	4789
11394	92
6953	92
11388	92
11385	92
3639	92
3639	8408
11373	922
11373	7444
11373	7459
15413	2220
15413	2040
15416	931
15250	119
15250	1317
15251	4178
15251	1401
15251	31
15251	13682
15254	32
15254	348
11403	11291
11401	2773
11401	6008
11401	3312
15264	1524
15264	15088
15268	509
15269	1404
11329	7046
11329	7054
11329	4387
11329	296
11329	4915
11329	2147
15271	914
15271	14974
15271	14973
15271	4589
15271	1242
15275	3894
15275	1053
15275	16854
15275	16853
15224	4614
15224	279
15224	2553
11358	1915
15225	13700
15225	4195
15226	2
11493	2
15227	1303
15227	2157
15227	2
15228	2
15228	15502
15228	1727
15229	4390
15229	2
15229	725
15229	1727
15230	438
15230	4390
15230	2
11475	1594
11475	2
15233	2
15233	1605
11471	2
15238	16848
15238	16847
15238	5291
15238	5138
15238	3141
15238	62
15238	217
15238	14795
15239	7857
15240	4258
15240	6121
15241	1363
15241	279
11440	367
11440	6215
11436	2253
11436	196
15245	3397
15245	196
15245	2149
15246	1726
15246	367
15246	196
15246	3318
15247	4423
15247	6771
15247	14088
11429	3418
11429	4916
15248	731
15248	7246
11426	8677
15249	317
15249	7242
15307	61
15307	10
15307	686
15307	1053
15308	1391
15308	5289
15309	2969
15309	6932
15309	6928
15309	274
15309	417
15309	1089
15310	5338
15310	8207
15310	3306
15311	11508
15311	12999
15311	11506
15311	11507
15312	4479
15312	3983
15312	5071
15313	715
15313	4479
15314	7088
15314	296
15316	650
15316	3327
15317	11165
15317	361
15317	137
15317	35
15317	592
15318	10245
15318	5292
15318	341
15318	10243
15318	10194
9333	1648
9333	3058
15321	7335
15321	704
15322	1856
15323	13876
15280	1270
15280	5907
15280	174
15281	13517
15281	2129
15282	1534
15282	21
15282	11969
15282	248
15282	11980
15283	1534
15283	11691
15283	6528
15284	1089
15284	417
15284	11145
15287	1293
15287	408
15288	9907
15288	9905
11986	3595
15291	199
11929	2609
11929	1840
11929	1332
15297	251
15297	201
15297	151
8443	15964
12078	2159
12078	3664
12078	7110
12078	7109
12078	1881
12078	918
5901	1930
14704	12806
14704	953
14704	38
14704	6889
14704	423
12069	953
12069	423
12069	5765
12058	127
12058	8061
12058	8068
12085	189
12083	189
12083	3036
12019	189
12019	3036
4293	189
4293	3036
12011	8945
12011	2965
12011	2964
12011	8946
12011	3416
12052	444
12052	569
12051	8415
12051	8490
12051	8492
12051	4535
12047	43
12047	6804
12047	1325
12046	8347
12046	8350
12046	8353
12044	43
12044	4342
12044	1
12044	550
12044	2655
12043	43
12043	550
